beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state
Wheat IPA,Shock Top Brewing Co.,Witbier,5.8,0,,Sushi O Bistro,Raleigh,NC,35.7835,-78.6474,4,6/20/13 21:47,https://untappd.com/c/34432628,https://untappd.com/beer/102751,https://untappd.com/brewery/148017,United States,St Louis,MO
Butty Bach,Wye Valley Brewery,English Pale Ale,4.5,0,Lovely pint :-),Moran's Eating House,Cheltenham,Gloucestershire,51.8902,-2.07829,5,6/29/13 18:39,https://untappd.com/c/35392068,https://untappd.com/beer/886,https://untappd.com/brewery/1378,England,Stoke Lacy,Herefordshire
Mad Goose,Purity Brewing Co. (England),English Pale Ale,4.2,0,Fine pint.,The Gloucester Old Spot,Cheltenham,Gloucestershire,51.9332,-2.14911,4.5,7/3/13 22:00,https://untappd.com/c/35840349,https://untappd.com/beer/6444,https://untappd.com/brewery/1536,England,Alcester,Warwickshire
Natural Selection,Battledown Brewery,Golden Ale,4.2,0,,,,,,,4,7/5/13 18:27,https://untappd.com/c/36146659,https://untappd.com/beer/120025,https://untappd.com/brewery/10003,England,Cheltenham,"Gloucestershire, GL52 6EJ"
Peroni Nastro Azzurro,Birra Peroni,Euro Lager,5.1,0,,,,,,,3.5,7/13/13 14:35,https://untappd.com/c/37045178,https://untappd.com/beer/7427,https://untappd.com/brewery/1921,Italy,Roma,RM
Peroni Nastro Azzurro,Birra Peroni,Euro Lager,5.1,0,,"OberÃ_geri, Zug",,,47.1394,8.61152,3.5,7/13/13 20:03,https://untappd.com/c/37066774,https://untappd.com/beer/7427,https://untappd.com/brewery/1921,Italy,Roma,RM
Amstel,Amstel Brouwerij,Euro Lager,5,21,,CafÃ© Loetje,Laren,Noord-Holland,52.2538,5.22791,4.5,7/14/13 17:09,https://untappd.com/c/37232436,https://untappd.com/beer/72160,https://untappd.com/brewery/37,Netherlands,Zoeterwoude,Zuid Holland
IKEA Ã–l Ljus Lager,KrÃ¶nleins Bryggeri,Euro Lager,4.7,0,Great with Swedish Meatballs!,IKEA Restaurant,Utrecht,Utrecht,52.0619,5.1004,3.5,7/15/13 12:09,https://untappd.com/c/37337013,https://untappd.com/beer/166813,https://untappd.com/brewery/11048,Sweden,Halmstad,
Palm SpÃ©ciale,Brouwerij Palm,Belgian Pale Ale,5.2,18,,,,,,,4,7/15/13 21:22,https://untappd.com/c/37348216,https://untappd.com/beer/7754,https://untappd.com/brewery/967,Belgium,Steenhuffel,
Spitfire Premium Kentish Ale,Shepherd Neame,English Bitter,4.5,0,Well deserved beer after a day's flying!,The Aviator,Cheltenham,,51.8938,-2.15687,4.5,7/21/13 19:57,https://untappd.com/c/38098415,https://untappd.com/beer/32722,https://untappd.com/brewery/1132,England,Faversham,Kent
Greene King IPA,Greene King,English IPA,3.6,0,Nice creamy head,Cross Hands (Beefeater),Cheltenham,Gloucestershire,51.9163,-2.10514,4,7/23/13 20:58,https://untappd.com/c/38295367,https://untappd.com/beer/6716,https://untappd.com/brewery/612,England,Bury St Edmunds,Suffolk
Abbot Ale,Greene King,Extra Special / Strong Bitter,5,0,,Lansdown CafÃ© Bar & Pizzeria,Cheltenham,Gloucestershire,51.8938,-2.08993,4.5,7/26/13 16:55,https://untappd.com/c/38596942,https://untappd.com/beer/3478,https://untappd.com/brewery/612,England,Bury St Edmunds,Suffolk
Corvus Stout,Wadworth Co.,Irish Dry Stout,4.1,0,,Tailors,Cheltenham,,51.899,-2.07305,4,7/27/13 15:10,https://untappd.com/c/38764145,https://untappd.com/beer/142855,https://untappd.com/brewery/3465,England,Devizes,Wiltshire
Butcombe Bitter,Butcombe Brewery ,English Bitter,4,0,,The Frog & Fiddle,Cheltenham,,51.9034,-2.0792,3.5,7/27/13 17:05,https://untappd.com/c/38770285,https://untappd.com/beer/16530,https://untappd.com/brewery/2996,England,Bristol,
Cheltenham S.P.A (Special Premium Ale),Battledown Brewery,Extra Special / Strong Bitter,5.2,0,,288 Bar and Wok,Cheltenham,Gloucestershire,51.9028,-2.07805,4,7/27/13 18:25,https://untappd.com/c/38779848,https://untappd.com/beer/119894,https://untappd.com/brewery/10003,England,Cheltenham,"Gloucestershire, GL52 6EJ"
Fursty Ferret,Hall & Woodhouse (Badger Beers),English Pale Ale,4.4,0,Refreshing after an afternoon's karting!,81 The Prom - Restaurant and Bar,Cheltenham,Gloucestershire,51.8989,-2.07829,4.5,8/5/13 20:14,https://untappd.com/c/40113169,https://untappd.com/beer/8932,https://untappd.com/brewery/1752,England,,
Rare Vos,Brewery Ommegang,American Amber / Red Ale,6.5,21,Fruity! Great beer.,,,,,,5,8/8/13 18:26,https://untappd.com/c/40394852,https://untappd.com/beer/2384,https://untappd.com/brewery/249,United States,Cooperstown,NY
Guinness Draught,Guinness,Irish Dry Stout,4.3,45,Mighty fine as ever.,The Aviator,Cheltenham,,51.8938,-2.15687,4.5,8/11/13 18:07,https://untappd.com/c/40917679,https://untappd.com/beer/4473,https://untappd.com/brewery/49,Ireland,Dublin 8,Ireland
HPA,Wye Valley Brewery,English Pale Ale,4,0,,The Fleet at Twyning,Tewkesbury,,52.0291,-2.14213,4,8/12/13 18:20,https://untappd.com/c/41045713,https://untappd.com/beer/40911,https://untappd.com/brewery/1378,England,Stoke Lacy,Herefordshire
Dance Of The Severn Vale,Severn Vale,English Bitter,4.5,0,Lovely pint.,The Gloucester Old Spot,Cheltenham,Gloucestershire,51.9332,-2.14911,4.5,8/13/13 22:02,https://untappd.com/c/41144687,https://untappd.com/beer/203525,https://untappd.com/brewery/23429,England,Cam,
Cwrw Haf,Tomos Watkin and Sons Ltd.,Golden Ale,4.2,0,Bwlch,The Old Priory,,,51.8599,-4.29902,4,8/16/13 20:13,https://untappd.com/c/41481406,https://untappd.com/beer/27713,https://untappd.com/brewery/1272,Wales,Swansea,West Glamorgan
Cwrw Haf,Tomos Watkin and Sons Ltd.,Golden Ale,4.2,0,,Y Dderwen Fach Hotel Carmarthen,Carmarthen,,51.86,-4.29985,4,8/16/13 21:45,https://untappd.com/c/41493081,https://untappd.com/beer/27713,https://untappd.com/brewery/1272,Wales,Swansea,West Glamorgan
Desperados,Brasserie Fischer,Pale Lager,5.9,0,Dangerous,Yr Hen Dderwen  (Wetherspoon),Carmarthen,Carmarthenshire,51.8572,-4.30521,3,8/16/13 22:42,https://untappd.com/c/41502547,https://untappd.com/beer/5997,https://untappd.com/brewery/1429,France,Schiltigheim,Bas-Rhin department in Alsace
Cobra Premium,Molson Coors (UK),Pale Lager,4.8,0,,,,,,,2.5,8/17/13 21:21,https://untappd.com/c/41695070,https://untappd.com/beer/9447,https://untappd.com/brewery/28894,England,"Burton-On-Trent,",Staffordshire
Cobra Premium,Molson Coors (UK),Pale Lager,4.8,0,,,,,,,2.5,8/17/13 21:25,https://untappd.com/c/41695732,https://untappd.com/beer/9447,https://untappd.com/brewery/28894,England,"Burton-On-Trent,",Staffordshire
Golden,Archers Brewery Co.,English Bitter,4.7,0,,,,,,,3.5,8/17/13 21:47,https://untappd.com/c/41701794,https://untappd.com/beer/185335,https://untappd.com/brewery/30962,England,Swindon,Wiltshire
Sneck Lifter,Jennings Brewery,Extra Special / Strong Bitter,5.1,0,,Queens Hotel,Carmarthen,Carmarthenshire,51.8563,-4.3056,4,8/17/13 22:34,https://untappd.com/c/41714852,https://untappd.com/beer/7453,https://untappd.com/brewery/713,England,Cockermouth,Cumbria
Beck's,Brauerei Beck,German Pilsner,5,21,Foul.,The Spread Eagle,,,51.8565,-4.3056,0.5,8/18/13 1:01,https://untappd.com/c/41763240,https://untappd.com/beer/6870,https://untappd.com/brewery/95,Germany,Bremen,
Great Grey Owl,Butcombe Brewery ,American Pale Ale,3.6,0,,The Greatfield,Cheltenham,Gloucestershire,51.8806,-2.10742,4,8/18/13 13:23,https://untappd.com/c/41860595,https://untappd.com/beer/299128,https://untappd.com/brewery/2996,England,Bristol,
Hill Climb,Prescott,Golden Ale,3.8,0,,The Swan Inn,Gloucester,,51.9421,-2.16366,4.5,8/20/13 20:20,https://untappd.com/c/42086387,https://untappd.com/beer/176010,https://untappd.com/brewery/10354,England,Cheltenham,Gloucestershire
Mariner / Cherry & White,Gloucester Brewery,English Bitter,4.2,32,,The Swan Inn,Gloucester,,51.9421,-2.16366,4,8/20/13 20:37,https://untappd.com/c/42087281,https://untappd.com/beer/124915,https://untappd.com/brewery/22082,England,Gloucester,
Spitfire Premium Kentish Ale,Shepherd Neame,English Bitter,4.5,0,Fit for Battle,The Lamb Inn,Battle,Sussex,50.8485,0.378928,4.5,8/23/13 19:30,https://untappd.com/c/42402361,https://untappd.com/beer/32722,https://untappd.com/brewery/1132,England,Faversham,Kent
Black Gold,Copper Dragon Brewery,English Mild Ale,4,0,,Queen's Arms,London,Greater London,51.4991,-0.180713,4.5,8/26/13 13:31,https://untappd.com/c/42915539,https://untappd.com/beer/6244,https://untappd.com/brewery/400,England,Skipton,North Yorkshire
London Pride,"Fuller, Smith & Turner ",English Bitter,4.1,0,,Courtfield (Taylor Walker),London,Greater London,51.4921,-0.192769,4.5,8/26/13 16:34,https://untappd.com/c/42918595,https://untappd.com/beer/2762,https://untappd.com/brewery/3296,England,London,
Coppa Rup,Pennine Brewing Co,English Pale Ale,4.1,0,,Sandford Park Alehouse,Cheltenham,Gloucestershire,51.8968,-2.07002,4,8/31/13 20:30,https://untappd.com/c/43528024,https://untappd.com/beer/434199,https://untappd.com/brewery/44034,England,Batley,West Yorkshire
Fuggle-Dee-Dum,Goddards Brewery,English Bitter,4.8,0,,,,,,,5,8/31/13 21:41,https://untappd.com/c/43546097,https://untappd.com/beer/57376,https://untappd.com/brewery/12708,England,Ryde,Isle of Wight
